input	lexeme	candidate	obs.prob	tab.prob	beA	beB
word462	A	B	0	4	1	0
word463	A	A	1	10	0	1
word463	A	B	0	10	1	0
word464	A	A	1	1	0	1
word464	A	B	0	1	1	0
word465	A	A	1	3	0	1
word465	A	B	0	3	1	0
word466	A	A	1	1	0	1
word466	A	B	0	1	1	0
word467	A	A	1	13	0	1
word467	A	B	0	13	1	0
word468	A	A	1	13	0	1
word468	A	B	0	13	1	0
word469	A	A	1	6	0	1
word469	A	B	0	6	1	0
word470	A	A	1	6	0	1
word470	A	B	0	6	1	0
word471	A	A	1	2	0	1
word471	A	B	0	2	1	0
word472	A	A	1	4	0	1
word472	A	B	0	4	1	0
word473	A	A	1	6	0	1
word473	A	B	0	6	1	0
word474	A	A	1	65	0	1
word474	A	B	0	65	1	0
word475	A	A	1	204	0	1
word475	A	B	0	204	1	0
word476	A	A	1	38	0	1
word476	A	B	0	38	1	0
word477	A	A	1	26	0	1
word477	A	B	0	26	1	0
word478	A	A	1	2	0	1
word478	A	B	0	2	1	0
word479	A	A	1	6882	0	1
word479	A	B	0	6882	1	0
word480	A	A	1	8	0	1
word480	A	B	0	8	1	0
word481	A	A	1	3	0	1
word481	A	B	0	3	1	0
word482	A	A	1	30	0	1
word482	A	B	0	30	1	0
word483	A	A	1	1	0	1
word483	A	B	0	1	1	0
word484	A	A	1	2	0	1
word484	A	B	0	2	1	0
word485	A	A	1	1	0	1
word485	A	B	0	1	1	0
word486	A	A	1	261	0	1
word486	A	B	0	261	1	0
word487	A	A	1	9	0	1
word487	A	B	0	9	1	0
word488	A	A	1	18	0	1
word488	A	B	0	18	1	0
word489	A	A	1	102	0	1
word489	A	B	0	102	1	0
word490	A	A	1	1	0	1
word490	A	B	0	1	1	0
word491	A	A	1	759	0	1
word491	A	B	0	759	1	0
word492	A	A	1	11	0	1
word492	A	B	0	11	1	0
word493	A	A	1	1	0	1
word493	A	B	0	1	1	0
word494	A	A	1	268	0	1
word494	A	B	0	268	1	0
word495	A	A	1	1053	0	1
word495	A	B	0	1053	1	0
word496	A	A	1	11	0	1
word496	A	B	0	11	1	0
word497	A	A	1	160	0	1
word497	A	B	0	160	1	0
word498	A	A	1	40	0	1
word498	A	B	0	40	1	0
word499	A	A	1	2	0	1
word499	A	B	0	2	1	0
word500	A	A	1	751	0	1
word500	A	B	0	751	1	0
word501	A	A	1	16	0	1
word501	A	B	0	16	1	0
word502	A	A	1	488	0	1
word502	A	B	0	488	1	0
word503	A	A	1	6	0	1
word503	A	B	0	6	1	0
word504	A	A	1	1	0	1
word504	A	B	0	1	1	0
word505	A	A	1	1	0	1
word505	A	B	0	1	1	0
word506	A	A	1	2	0	1
word506	A	B	0	2	1	0
word507	A	A	1	10	0	1
word507	A	B	0	10	1	0
word508	A	A	1	2	0	1
word508	A	B	0	2	1	0
word509	A	A	1	176	0	1
word509	A	B	0	176	1	0
word510	A	A	1	1	0	1
word510	A	B	0	1	1	0
word511	A	A	1	1543	0	1
word511	A	B	0	1543	1	0
word512	A	A	1	1	0	1
word512	A	B	0	1	1	0
word513	A	A	1	261	0	1
word513	A	B	0	261	1	0
word514	A	A	1	1	0	1
word514	A	B	0	1	1	0
word515	A	A	1	332	0	1
word515	A	B	0	332	1	0
word516	A	A	1	450	0	1
word516	A	B	0	450	1	0
word517	A	A	1	73	0	1
word517	A	B	0	73	1	0
word518	A	A	1	100	0	1
word518	A	B	0	100	1	0
word519	A	A	1	1	0	1
word519	A	B	0	1	1	0
word520	A	A	1	1	0	1
word520	A	B	0	1	1	0
word521	A	A	1	39	0	1
word521	A	B	0	39	1	0
word522	A	A	1	5	0	1
word522	A	B	0	5	1	0
word523	A	A	1	1274	0	1
word523	A	B	0	1274	1	0
word524	A	A	1	1	0	1
word524	A	B	0	1	1	0
word525	A	A	1	1	0	1
word525	A	B	0	1	1	0
word526	A	A	1	2	0	1
word526	A	B	0	2	1	0
word527	A	A	1	46	0	1
word527	A	B	0	46	1	0
word528	A	A	1	3	0	1
word528	A	B	0	3	1	0
word529	A	A	1	2	0	1
word529	A	B	0	2	1	0
word530	A	A	1	1	0	1
word530	A	B	0	1	1	0
word531	A	A	1	32	0	1
word531	A	B	0	32	1	0
word532	A	A	1	1	0	1
word532	A	B	0	1	1	0
word533	A	A	1	2	0	1
word533	A	B	0	2	1	0
word534	A	A	1	12	0	1
word534	A	B	0	12	1	0
word535	A	A	1	1	0	1
word535	A	B	0	1	1	0
word536	A	A	1	1	0	1
word536	A	B	0	1	1	0
word537	A	A	1	1	0	1
word537	A	B	0	1	1	0
word538	A	A	1	22	0	1
word538	A	B	0	22	1	0
word539	A	A	1	71	0	1
word539	A	B	0	71	1	0
word540	A	A	1	1	0	1
word540	A	B	0	1	1	0
word541	A	A	1	148	0	1
word541	A	B	0	148	1	0
word542	A	A	1	4	0	1
word542	A	B	0	4	1	0
word543	A	A	1	58	0	1
word543	A	B	0	58	1	0
word544	A	A	1	2	0	1
word544	A	B	0	2	1	0
word545	A	A	1	1	0	1
word545	A	B	0	1	1	0
word546	A	A	1	50	0	1
word546	A	B	0	50	1	0
word547	A	A	1	1	0	1
word547	A	B	0	1	1	0
word548	A	A	1	1	0	1
word548	A	B	0	1	1	0
word549	A	A	1	183	0	1
word549	A	B	0	183	1	0
word550	A	A	1	2	0	1
word550	A	B	0	2	1	0
word551	A	A	1	1	0	1
word551	A	B	0	1	1	0
word552	A	A	1	1	0	1
word552	A	B	0	1	1	0
word553	A	A	1	6	0	1
word553	A	B	0	6	1	0
word554	A	A	1	13	0	1
word554	A	B	0	13	1	0
word555	A	A	1	2	0	1
word555	A	B	0	2	1	0
word556	A	A	1	2	0	1
word556	A	B	0	2	1	0
word557	A	A	1	829	0	1
word557	A	B	0	829	1	0
word558	A	A	1	2	0	1
word558	A	B	0	2	1	0
word559	A	A	1	53	0	1
word559	A	B	0	53	1	0
word560	A	A	1	4	0	1
word560	A	B	0	4	1	0
word561	A	A	1	786	0	1
word561	A	B	0	786	1	0
word562	A	A	1	2	0	1
word562	A	B	0	2	1	0
word563	A	A	1	6639	0	1
word563	A	B	0	6639	1	0
word564	A	A	1	1685	0	1
word564	A	B	0	1685	1	0
word565	A	A	1	4	0	1
word565	A	B	0	4	1	0
word566	A	A	1	3	0	1
word566	A	B	0	3	1	0
word567	A	A	1	93	0	1
word567	A	B	0	93	1	0
word568	A	A	1	1283	0	1
word568	A	B	0	1283	1	0
word569	A	A	1	3856	0	1
word569	A	B	0	3856	1	0
word570	A	A	1	26	0	1
word570	A	B	0	26	1	0
word571	A	A	1	3	0	1
word571	A	B	0	3	1	0
word572	A	A	1	1	0	1
word572	A	B	0	1	1	0
word573	A	A	1	3	0	1
word573	A	B	0	3	1	0
word574	A	A	1	2	0	1
word574	A	B	0	2	1	0
word575	A	A	1	3	0	1
word575	A	B	0	3	1	0
word576	A	A	1	11	0	1
word576	A	B	0	11	1	0
word577	A	A	1	3691	0	1
word577	A	B	0	3691	1	0
word578	A	A	1	128	0	1
word578	A	B	0	128	1	0
word579	A	A	1	8843	0	1
word579	A	B	0	8843	1	0
word580	A	A	1	7	0	1
word580	A	B	0	7	1	0
word581	A	A	1	26	0	1
word581	A	B	0	26	1	0
word582	A	A	1	104	0	1
word582	A	B	0	104	1	0
word583	A	A	1	13	0	1
word583	A	B	0	13	1	0
word584	A	A	1	35	0	1
word584	A	B	0	35	1	0
word585	A	A	1	11	0	1
word585	A	B	0	11	1	0
word586	A	A	1	2	0	1
word586	A	B	0	2	1	0
word587	A	A	1	1797	0	1
word587	A	B	0	1797	1	0
word588	A	A	1	2126	0	1
word588	A	B	0	2126	1	0
word589	A	A	1	2	0	1
word589	A	B	0	2	1	0
word590	A	A	1	1436	0	1
word590	A	B	0	1436	1	0
word591	A	A	1	1	0	1
word591	A	B	0	1	1	0
word592	A	A	1	1	0	1
word592	A	B	0	1	1	0
word593	A	A	1	3	0	1
word593	A	B	0	3	1	0
word594	A	A	1	143	0	1
word594	A	B	0	143	1	0
word595	A	A	1	41	0	1
word595	A	B	0	41	1	0
word596	A	A	1	8	0	1
word596	A	B	0	8	1	0
word597	A	A	1	9	0	1
word597	A	B	0	9	1	0
word598	A	A	1	1	0	1
word598	A	B	0	1	1	0
word599	A	A	1	2	0	1
word599	A	B	0	2	1	0
word600	A	A	1	2	0	1
word600	A	B	0	2	1	0
word601	A	A	1	200	0	1
word601	A	B	0	200	1	0
word602	A	A	1	2	0	1
word602	A	B	0	2	1	0
word603	A	A	1	20	0	1
word603	A	B	0	20	1	0
word604	A	A	1	1	0	1
word604	A	B	0	1	1	0
word605	A	A	1	1	0	1
word605	A	B	0	1	1	0
word606	A	A	1	206	0	1
word606	A	B	0	206	1	0
word607	A	A	1	826	0	1
word607	A	B	0	826	1	0
word608	A	A	1	4	0	1
word608	A	B	0	4	1	0
word609	A	A	1	527	0	1
word609	A	B	0	527	1	0
word610	A	A	1	1	0	1
word610	A	B	0	1	1	0
word611	A	A	1	1	0	1
word611	A	B	0	1	1	0
word612	A	A	1	5	0	1
word612	A	B	0	5	1	0
word613	A	A	1	90	0	1
word613	A	B	0	90	1	0
word614	A	A	1	1	0	1
word614	A	B	0	1	1	0
word615	A	A	1	1	0	1
word615	A	B	0	1	1	0
word616	A	A	1	1	0	1
word616	A	B	0	1	1	0
word617	A	A	1	1	0	1
word617	A	B	0	1	1	0
word618	A	A	1	163	0	1
word618	A	B	0	163	1	0
word619	A	A	1	158	0	1
word619	A	B	0	158	1	0
word620	A	A	1	1006	0	1
word620	A	B	0	1006	1	0
word621	A	A	1	1	0	1
word621	A	B	0	1	1	0
word622	A	A	1	244	0	1
word622	A	B	0	244	1	0
word623	A	A	1	7824	0	1
word623	A	B	0	7824	1	0
word624	A	A	1	250	0	1
word624	A	B	0	250	1	0
word625	A	A	1	419	0	1
word625	A	B	0	419	1	0
word626	A	A	1	1	0	1
word626	A	B	0	1	1	0
word627	A	A	1	3	0	1
word627	A	B	0	3	1	0
word628	A	A	1	993	0	1
word628	A	B	0	993	1	0
word629	A	A	1	2	0	1
word629	A	B	0	2	1	0
word630	A	A	1	1	0	1
word630	A	B	0	1	1	0
word631	A	A	1	7	0	1
word631	A	B	0	7	1	0
word632	A	A	1	1261	0	1
word632	A	B	0	1261	1	0
word633	A	A	1	5	0	1
word633	A	B	0	5	1	0
word634	A	A	1	20	0	1
word634	A	B	0	20	1	0
word635	A	A	1	146	0	1
word635	A	B	0	146	1	0
word636	A	A	1	687	0	1
word636	A	B	0	687	1	0
word637	A	A	1	28	0	1
word637	A	B	0	28	1	0
word638	A	A	1	2	0	1
word638	A	B	0	2	1	0
word639	A	A	1	4	0	1
word639	A	B	0	4	1	0
word640	A	A	1	3185	0	1
word640	A	B	0	3185	1	0
word641	A	A	1	1	0	1
word641	A	B	0	1	1	0
word642	A	A	1	62	0	1
word642	A	B	0	62	1	0
word643	A	A	1	745	0	1
word643	A	B	0	745	1	0
word644	A	A	1	1	0	1
word644	A	B	0	1	1	0
word645	A	A	1	4	0	1
word645	A	B	0	4	1	0
word646	A	A	1	4196	0	1
word646	A	B	0	4196	1	0
word647	A	A	1	163	0	1
word647	A	B	0	163	1	0
word648	A	A	1	1	0	1
word648	A	B	0	1	1	0
word649	A	A	1	957	0	1
word649	A	B	0	957	1	0
word650	A	A	1	262	0	1
word650	A	B	0	262	1	0
word651	A	A	1	28	0	1
word651	A	B	0	28	1	0
word652	A	A	1	12	0	1
word652	A	B	0	12	1	0
word653	A	A	1	5830	0	1
word653	A	B	0	5830	1	0
word654	A	A	1	1	0	1
word654	A	B	0	1	1	0
word655	A	A	1	1	0	1
word655	A	B	0	1	1	0
word656	A	A	1	3251	0	1
word656	A	B	0	3251	1	0
word657	A	A	1	2	0	1
word657	A	B	0	2	1	0
word658	A	A	1	6925	0	1
word658	A	B	0	6925	1	0
word659	A	A	1	10	0	1
word659	A	B	0	10	1	0
word660	A	A	1	142	0	1
word660	A	B	0	142	1	0
word661	A	A	1	5	0	1
word661	A	B	0	5	1	0
word662	A	A	1	34	0	1
word662	A	B	0	34	1	0
word663	A	A	1	1	0	1
word663	A	B	0	1	1	0
word664	A	A	1	4	0	1
word664	A	B	0	4	1	0
word665	A	A	1	595	0	1
word665	A	B	0	595	1	0
word666	A	A	1	21	0	1
word666	A	B	0	21	1	0
word667	A	A	1	1	0	1
word667	A	B	0	1	1	0
word668	A	A	1	2	0	1
word668	A	B	0	2	1	0
word669	A	A	1	90	0	1
word669	A	B	0	90	1	0
word670	A	A	1	41	0	1
word670	A	B	0	41	1	0
word671	A	A	1	1	0	1
word671	A	B	0	1	1	0
word672	A	A	1	5384	0	1
word672	A	B	0	5384	1	0
word673	A	A	1	1	0	1
word673	A	B	0	1	1	0
word674	A	A	1	1295	0	1
word674	A	B	0	1295	1	0
word675	A	A	1	93	0	1
word675	A	B	0	93	1	0
word676	A	A	1	2020	0	1
word676	A	B	0	2020	1	0
word677	A	A	1	1	0	1
word677	A	B	0	1	1	0
word678	A	A	1	308	0	1
word678	A	B	0	308	1	0
word679	A	A	1	15	0	1
word679	A	B	0	15	1	0
word680	A	A	1	3423	0	1
word680	A	B	0	3423	1	0
word681	A	A	1	83	0	1
word681	A	B	0	83	1	0
word682	A	A	1	899	0	1
word682	A	B	0	899	1	0
word683	A	A	1	2	0	1
word683	A	B	0	2	1	0
word684	A	A	1	1	0	1
word684	A	B	0	1	1	0
word685	A	A	1	15	0	1
word685	A	B	0	15	1	0
word686	A	A	1	79	0	1
word686	A	B	0	79	1	0
word687	A	A	1	1	0	1
word687	A	B	0	1	1	0
word688	A	A	1	11	0	1
word688	A	B	0	11	1	0
word689	A	A	1	1	0	1
word689	A	B	0	1	1	0
word690	A	A	1	4691	0	1
word690	A	B	0	4691	1	0
word691	A	A	1	1	0	1
word691	A	B	0	1	1	0
word692	A	A	1	784	0	1
word692	A	B	0	784	1	0
word693	A	A	1	4090	0	1
word693	A	B	0	4090	1	0
word694	A	A	1	4	0	1
word694	A	B	0	4	1	0
word695	A	A	1	10	0	1
word695	A	B	0	10	1	0
word696	A	A	1	1	0	1
word696	A	B	0	1	1	0
word697	A	A	1	821	0	1
word697	A	B	0	821	1	0
word698	A	A	1	2	0	1
word698	A	B	0	2	1	0
word699	A	A	1	169	0	1
word699	A	B	0	169	1	0
word700	A	A	1	1	0	1
word700	A	B	0	1	1	0
word701	A	A	1	1	0	1
word701	A	B	0	1	1	0
word702	A	A	1	1	0	1
word702	A	B	0	1	1	0
word703	A	A	1	103	0	1
word703	A	B	0	103	1	0
word704	A	A	1	27	0	1
word704	A	B	0	27	1	0
word705	A	A	1	13	0	1
word705	A	B	0	13	1	0
word706	A	A	1	3	0	1
word706	A	B	0	3	1	0
word707	A	A	1	21	0	1
word707	A	B	0	21	1	0
word708	A	A	1	698	0	1
word708	A	B	0	698	1	0
word709	A	A	1	37	0	1
word709	A	B	0	37	1	0
word710	A	A	1	2036	0	1
word710	A	B	0	2036	1	0
word711	A	A	1	1	0	1
word711	A	B	0	1	1	0
word712	A	A	1	1989	0	1
word712	A	B	0	1989	1	0
word713	A	A	1	57	0	1
word713	A	B	0	57	1	0
word714	A	A	1	1	0	1
word714	A	B	0	1	1	0
word715	A	A	1	9195	0	1
word715	A	B	0	9195	1	0
word716	A	A	1	6	0	1
word716	A	B	0	6	1	0
word717	A	A	1	1	0	1
word717	A	B	0	1	1	0
word718	A	A	1	198	0	1
word718	A	B	0	198	1	0
word719	A	A	1	26	0	1
word719	A	B	0	26	1	0
word720	A	A	1	62	0	1
word720	A	B	0	62	1	0
word721	A	A	1	353	0	1
word721	A	B	0	353	1	0
word722	A	A	1	2	0	1
word722	A	B	0	2	1	0
word723	A	A	1	17	0	1
word723	A	B	0	17	1	0
word724	A	A	1	17	0	1
word724	A	B	0	17	1	0
word725	A	A	1	1	0	1
word725	A	B	0	1	1	0
word726	A	A	1	7	0	1
word726	A	B	0	7	1	0
word727	A	A	1	18	0	1
word727	A	B	0	18	1	0
word728	A	A	1	4670	0	1
word728	A	B	0	4670	1	0
word729	A	A	1	75	0	1
word729	A	B	0	75	1	0
word730	A	A	1	151	0	1
word730	A	B	0	151	1	0
word731	A	A	1	2	0	1
word731	A	B	0	2	1	0
word732	A	A	1	13	0	1
word732	A	B	0	13	1	0
word733	A	A	1	1	0	1
word733	A	B	0	1	1	0
word734	A	A	1	4528	0	1
word734	A	B	0	4528	1	0
word735	A	A	1	71	0	1
word735	A	B	0	71	1	0
word736	A	A	1	1603	0	1
word736	A	B	0	1603	1	0
word737	A	A	1	7	0	1
word737	A	B	0	7	1	0
word738	A	A	1	1	0	1
word738	A	B	0	1	1	0
word739	A	A	1	89	0	1
word739	A	B	0	89	1	0
word740	A	A	1	1	0	1
word740	A	B	0	1	1	0
word741	A	A	1	6	0	1
word741	A	B	0	6	1	0
word742	A	A	1	4	0	1
word742	A	B	0	4	1	0
word743	A	A	1	33	0	1
word743	A	B	0	33	1	0
word744	A	A	1	777	0	1
word744	A	B	0	777	1	0
word745	A	A	1	5	0	1
word745	A	B	0	5	1	0
word746	A	A	1	1	0	1
word746	A	B	0	1	1	0
word747	A	A	1	3	0	1
word747	A	B	0	3	1	0
word748	A	A	1	1	0	1
word748	A	B	0	1	1	0
word749	A	A	1	974	0	1
word749	A	B	0	974	1	0
word750	A	A	1	66	0	1
word750	A	B	0	66	1	0
word751	A	A	1	26	0	1
word751	A	B	0	26	1	0
word752	A	A	1	145	0	1
word752	A	B	0	145	1	0
word753	A	A	1	1	0	1
word753	A	B	0	1	1	0
word754	A	A	1	362	0	1
word754	A	B	0	362	1	0
word755	A	A	1	3	0	1
word755	A	B	0	3	1	0
word756	A	A	1	3	0	1
word756	A	B	0	3	1	0
word757	A	A	1	9720	0	1
word757	A	B	0	9720	1	0
word758	A	A	1	4421	0	1
word758	A	B	0	4421	1	0
word759	A	A	1	84	0	1
word759	A	B	0	84	1	0
word760	A	A	1	1	0	1
word760	A	B	0	1	1	0
word761	A	A	1	8	0	1
word761	A	B	0	8	1	0
word762	A	A	1	1	0	1
word762	A	B	0	1	1	0
word763	A	A	1	1587	0	1
word763	A	B	0	1587	1	0
word764	A	A	1	13	0	1
word764	A	B	0	13	1	0
word765	A	A	1	22	0	1
word765	A	B	0	22	1	0
word766	A	A	1	18	0	1
word766	A	B	0	18	1	0
word767	A	A	1	374	0	1
word767	A	B	0	374	1	0
word768	A	A	1	1	0	1
word768	A	B	0	1	1	0
word769	A	A	1	1227	0	1
word769	A	B	0	1227	1	0
word770	A	A	1	3	0	1
word770	A	B	0	3	1	0
word771	A	A	1	42	0	1
word771	A	B	0	42	1	0
word772	A	A	1	10	0	1
word772	A	B	0	10	1	0
word773	A	A	1	3994	0	1
word773	A	B	0	3994	1	0
word774	A	A	1	1075	0	1
word774	A	B	0	1075	1	0
word775	A	A	1	1	0	1
word775	A	B	0	1	1	0
word776	A	A	1	123	0	1
word776	A	B	0	123	1	0
word777	A	A	1	39	0	1
word777	A	B	0	39	1	0
word778	A	A	1	7	0	1
word778	A	B	0	7	1	0
word779	A	A	1	14	0	1
word779	A	B	0	14	1	0
word780	A	A	1	167	0	1
word780	A	B	0	167	1	0
word781	A	A	1	9	0	1
word781	A	B	0	9	1	0
word782	A	A	1	1	0	1
word782	A	B	0	1	1	0
word783	A	A	1	2	0	1
word783	A	B	0	2	1	0
word784	A	A	1	2	0	1
word784	A	B	0	2	1	0
word785	A	A	1	1	0	1
word785	A	B	0	1	1	0
word786	A	A	1	8	0	1
word786	A	B	0	8	1	0
word787	A	A	1	147	0	1
word787	A	B	0	147	1	0
word788	A	A	1	2851	0	1
word788	A	B	0	2851	1	0
word789	A	A	1	1	0	1
word789	A	B	0	1	1	0
word790	A	A	1	7719	0	1
word790	A	B	0	7719	1	0
word791	A	A	1	262	0	1
word791	A	B	0	262	1	0
word792	A	A	1	1	0	1
word792	A	B	0	1	1	0
word793	A	A	1	57	0	1
word793	A	B	0	57	1	0
word794	A	A	1	6	0	1
word794	A	B	0	6	1	0
word795	A	A	1	2	0	1
word795	A	B	0	2	1	0
word796	A	A	1	6	0	1
word796	A	B	0	6	1	0
word797	A	A	1	7400	0	1
word797	A	B	0	7400	1	0
word798	A	A	1	4	0	1
word798	A	B	0	4	1	0
word799	A	A	1	453	0	1
word799	A	B	0	453	1	0
word800	A	A	1	9	0	1
word800	A	B	0	9	1	0
word801	A	A	1	1614	0	1
word801	A	B	0	1614	1	0
word802	A	A	1	17	0	1
word802	A	B	0	17	1	0
word803	A	A	1	1	0	1
word803	A	B	0	1	1	0
word804	A	A	1	1	0	1
word804	A	B	0	1	1	0
word805	A	A	1	2	0	1
word805	A	B	0	2	1	0
word806	A	A	1	6	0	1
word806	A	B	0	6	1	0
word807	A	A	1	4	0	1
word807	A	B	0	4	1	0
word808	A	A	1	10	0	1
word808	A	B	0	10	1	0
word809	A	A	1	41	0	1
word809	A	B	0	41	1	0
word810	A	A	1	1	0	1
word810	A	B	0	1	1	0
word811	A	A	1	883	0	1
word811	A	B	0	883	1	0
word812	A	A	1	1	0	1
word812	A	B	0	1	1	0
word813	A	A	1	1	0	1
word813	A	B	0	1	1	0
word814	A	A	1	1	0	1
word814	A	B	0	1	1	0
word815	A	A	1	1	0	1
word815	A	B	0	1	1	0
word816	A	A	1	5	0	1
word816	A	B	0	5	1	0
word817	A	A	1	17	0	1
word817	A	B	0	17	1	0
word818	A	A	1	15	0	1
word818	A	B	0	15	1	0
word819	A	A	1	11	0	1
word819	A	B	0	11	1	0
word820	A	A	1	9	0	1
word820	A	B	0	9	1	0
word821	A	A	1	12	0	1
word821	A	B	0	12	1	0
word822	A	A	1	2	0	1
word822	A	B	0	2	1	0
word823	A	A	1	7	0	1
word823	A	B	0	7	1	0
word824	A	A	1	1	0	1
word824	A	B	0	1	1	0
word825	A	A	1	5339	0	1
word825	A	B	0	5339	1	0
word826	A	A	1	1	0	1
word826	A	B	0	1	1	0
word827	A	A	1	1	0	1
word827	A	B	0	1	1	0
word828	A	A	1	98	0	1
word828	A	B	0	98	1	0
word829	A	A	1	3	0	1
word829	A	B	0	3	1	0
word830	A	A	1	3	0	1
word830	A	B	0	3	1	0
word831	A	A	1	2	0	1
word831	A	B	0	2	1	0
word832	A	A	1	162	0	1
word832	A	B	0	162	1	0
word833	A	A	1	1	0	1
word833	A	B	0	1	1	0
word834	A	A	1	37	0	1
word834	A	B	0	37	1	0
word835	A	A	1	1	0	1
word835	A	B	0	1	1	0
word836	A	A	1	51	0	1
word836	A	B	0	51	1	0
word837	A	A	1	1018	0	1
word837	A	B	0	1018	1	0
word838	A	A	1	412	0	1
word838	A	B	0	412	1	0
word839	A	A	1	1194	0	1
word839	A	B	0	1194	1	0
word840	A	A	1	47	0	1
word840	A	B	0	47	1	0
word841	A	A	1	60	0	1
word841	A	B	0	60	1	0
word842	A	A	1	681	0	1
word842	A	B	0	681	1	0
word843	A	A	1	1	0	1
word843	A	B	0	1	1	0
word844	A	A	1	7	0	1
word844	A	B	0	7	1	0
word845	A	A	1	1	0	1
word845	A	B	0	1	1	0
word846	A	A	1	110	0	1
word846	A	B	0	110	1	0
word847	A	A	1	1	0	1
word847	A	B	0	1	1	0
word848	A	A	1	334	0	1
word848	A	B	0	334	1	0
word849	A	A	1	8777	0	1
word849	A	B	0	8777	1	0
word850	A	A	1	3	0	1
word850	A	B	0	3	1	0
word851	A	A	1	9	0	1
word851	A	B	0	9	1	0
word852	A	A	1	1	0	1
word852	A	B	0	1	1	0
word853	A	A	1	5	0	1
word853	A	B	0	5	1	0
word854	A	A	1	189	0	1
word854	A	B	0	189	1	0
word855	A	A	1	1	0	1
word855	A	B	0	1	1	0
word856	A	A	1	53	0	1
word856	A	B	0	53	1	0
word857	A	A	1	2	0	1
word857	A	B	0	2	1	0
word858	A	A	1	922	0	1
word858	A	B	0	922	1	0
word859	A	A	1	26	0	1
word859	A	B	0	26	1	0
word860	A	A	1	4	0	1
word860	A	B	0	4	1	0
word861	A	A	1	5	0	1
word861	A	B	0	5	1	0
word862	A	A	1	2	0	1
word862	A	B	0	2	1	0
word863	A	A	1	1	0	1
word863	A	B	0	1	1	0
word864	A	A	1	1	0	1
word864	A	B	0	1	1	0
word865	A	A	1	13	0	1
word865	A	B	0	13	1	0
word866	A	A	1	76	0	1
word866	A	B	0	76	1	0
word867	A	A	1	295	0	1
word867	A	B	0	295	1	0
word868	A	A	1	5	0	1
word868	A	B	0	5	1	0
word869	A	A	1	1	0	1
word869	A	B	0	1	1	0
word870	A	A	1	1	0	1
word870	A	B	0	1	1	0
word871	A	A	1	6746	0	1
word871	A	B	0	6746	1	0
word872	A	A	1	317	0	1
word872	A	B	0	317	1	0
word873	A	A	1	531	0	1
word873	A	B	0	531	1	0
word874	A	A	1	128	0	1
word874	A	B	0	128	1	0
word875	A	A	1	3	0	1
word875	A	B	0	3	1	0
word876	A	A	1	1	0	1
word876	A	B	0	1	1	0
word877	A	A	1	1	0	1
word877	A	B	0	1	1	0
word878	A	A	1	1	0	1
word878	A	B	0	1	1	0
word879	A	A	1	1	0	1
word879	A	B	0	1	1	0
word880	A	A	1	1	0	1
word880	A	B	0	1	1	0
word881	A	A	1	8	0	1
word881	A	B	0	8	1	0
word882	A	A	1	1	0	1
word882	A	B	0	1	1	0
word883	A	A	1	2649	0	1
word883	A	B	0	2649	1	0
word884	A	A	1	3	0	1
word884	A	B	0	3	1	0
word885	A	A	1	2	0	1
word885	A	B	0	2	1	0
word886	A	A	1	12	0	1
word886	A	B	0	12	1	0
word887	A	A	1	1	0	1
word887	A	B	0	1	1	0
word888	A	A	1	1	0	1
word888	A	B	0	1	1	0
word889	A	A	1	4854	0	1
word889	A	B	0	4854	1	0
word890	A	A	1	1	0	1
word890	A	B	0	1	1	0
word891	A	A	1	1	0	1
word891	A	B	0	1	1	0
word892	A	A	1	374	0	1
word892	A	B	0	374	1	0
word893	A	A	1	1	0	1
word893	A	B	0	1	1	0
word894	A	A	1	5	0	1
word894	A	B	0	5	1	0
word895	A	A	1	2	0	1
word895	A	B	0	2	1	0
word896	A	A	1	3	0	1
word896	A	B	0	3	1	0
word897	A	A	1	406	0	1
word897	A	B	0	406	1	0
word898	A	A	1	345	0	1
word898	A	B	0	345	1	0
word899	A	A	1	7	0	1
word899	A	B	0	7	1	0
word900	A	A	1	969	0	1
word900	A	B	0	969	1	0
word901	A	A	1	1	0	1
word901	A	B	0	1	1	0
word902	A	A	1	4	0	1
word902	A	B	0	4	1	0
word903	A	A	1	4817	0	1
word903	A	B	0	4817	1	0
word904	A	A	1	47	0	1
word904	A	B	0	47	1	0
word905	A	A	1	78	0	1
word905	A	B	0	78	1	0
word906	A	A	1	1	0	1
word906	A	B	0	1	1	0
word907	A	A	1	3	0	1
word907	A	B	0	3	1	0
word908	A	A	1	2	0	1
word908	A	B	0	2	1	0
word909	A	A	1	2003	0	1
word909	A	B	0	2003	1	0
word910	A	A	1	5	0	1
word910	A	B	0	5	1	0
word911	A	A	1	21	0	1
word911	A	B	0	21	1	0
word912	A	A	1	59	0	1
word912	A	B	0	59	1	0
word913	A	A	1	15	0	1
word913	A	B	0	15	1	0
word914	A	A	1	1	0	1
word914	A	B	0	1	1	0
word915	A	A	1	54	0	1
word915	A	B	0	54	1	0
word916	A	A	1	3	0	1
word916	A	B	0	3	1	0
word917	A	A	1	171	0	1
word917	A	B	0	171	1	0
word918	A	A	1	29	0	1
word918	A	B	0	29	1	0
word919	A	A	1	31	0	1
word919	A	B	0	31	1	0
word920	A	A	1	3	0	1
word920	A	B	0	3	1	0
word921	A	A	1	2913	0	1
word921	A	B	0	2913	1	0
word922	A	A	1	21	0	1
word922	A	B	0	21	1	0
word923	A	A	1	4	0	1
word923	A	B	0	4	1	0
word924	A	A	1	13	0	1
